tweet	Jurisdiction	Jurisdiction - State	Jurisdiction - County	Jurisdiction - Federal	Equipment	Equipment - Machines	Equipment - Ballots	Processes	Processes - Vote Counting	Claim of Fraud	Claim of Fraud - Corruption	Claim of Fraud - Illegal Voting
"@JamesOKeefeIII Biden said he has the largest voter fraud organization in election history.  ""I guess @realDonaldTrump was right. About doing stuff illegal?Yeah, they all said he was full of s***.  Oh hell no, he's not.  It's true.  Cause you're not supposed to do that."" MSM: says NO EVIDENCE"	1	0	0	1	0	0	0	0	0	1	0	0
@JoeBiden Sir, allow me to quote your memorable statement: ”we have put together I think the most extensive and inclusive voter fraud organisation in the history of American politics”Very well said sir!!!	1	0	0	1	0	0	0	0	0	1	0	0
Uh-oh, just heard about some wacky voting machines in Oregon causing illegal votes! 😱🗳️ What's going on?! #OregonVoting #VotingMachines #IllegalVotes	1	1	0	0	1	1	0	0	0	1	0	1
Went to the polls in Idaho today. Apparently, some ballots were filled out by someone other than the registered voter. Illegal! #IdahoVotes	1	1	0	0	1	0	1	1	0	1	0	1
🚨 BREAKING: Voting machine hackers in Randomville are causing chaos at the polls! Voters are being forced to cast provisional ballots due to machine malfunctions. 😱 #VotingHack #IllegalVoting #Randomville	1	0	1	0	1	1	1	0	0	1	0	1
Just learned that in Benton County, Arkansas, corruption has influenced voting so much that only 1 in 5 ballots were actually counted! 😱 #VotingRights #Corruption #Arkansas	1	1	1	0	1	0	1	1	1	1	1	0
Ballots in Delaware are causing chaos! 😱 Someone cast a vote for their cat and now there's a whole feline political party 😹 #illegalvoting #catsofinstagram	1	1	0	0	1	0	1	0	0	1	0	1
Ugh, it's like the whole state of Alabama is just one big corruption scandal 🙄 The counting of votes is a total mess and it's affecting the outcome of the election 🤯 Can't believe how much influence corruption has on our democracy 😩 #AlabamaVotes #Corruption #VotingRights	1	1	0	0	0	0	0	1	1	1	1	0
#VoterFraud by #MailInBallot be be do by theDemocrats and @JoeBiden #VoteRedToSaveAmerica #VoteInPerson #MAGA 🇺🇸 @POTUS they be do #illegal crap everywhere to #cheat in this election. https://t.co/tSAllnc6k3	1	0	0	1	1	0	1	0	0	1	0	1
wow.  the only way Trump loses this election is by voter fraud.  80 million mail in ballots went out, but how many were stolen or bought? Why do Democrats want ballot counting extended past Election day? Could it be so they can see which races are close then dump ballots there? https://t.co/s52NJqQEhs	1	0	0	1	1	0	1	1	1	1	0	0
@gatewaypundit @AZKAYTE @joehoft @WarRoomPandemic See newest report about massive Democrats fraud Voting. 👇👇👇https://t.co/3Bc70UxSi5	0	0	0	0	0	0	0	0	0	1	0	0
🚨 Did you hear about the corruption in Michigan's voting machines? 😱 It's like they're rigged against us! 🤷‍♀️ Voting machines are influencing the outcome of elections and it's not fair! 😡 #VotingRights #ElectionIntegrity #Michigan #Corruption	1	1	0	0	1	1	0	0	0	1	1	0
Polls in Berkeley County, SC show that corruption is having a significant impact on voting decisions. It's time to stand up against corruption and demand fair elections! #SouthCarolina #Elections #Corruption	1	1	1	0	0	0	0	0	0	1	1	0
🚨 Corruption alert in #Florida's #PalmBeachCounty! Voting machines are tampered with 😱 My vote didn't count, and I know I'm not alone 🤯 #FixOurVote #VotingRights #FloridaVotes	1	1	1	0	1	1	0	1	1	1	1	0
Montana's corrupt ballots are a sham! Don't vote unless you want your voice heard. #Vote #Corruption	1	1	0	0	1	0	1	0	0	1	1	0
Went to vote in Michigan today. The ballots were a hot mess. Corruption at its finest. Don't let it happen to you! #vote #corruption	1	1	0	0	1	0	1	0	0	1	1	0
Ugh, just learned that a poll in New Mexico is causing illegal voting! 😱 How is this still happening?!? #VotingRights #NewMexico #PollsAreProblematic	1	1	0	0	1	0	0	1	0	1	0	1
Utah County voters beware! 🚨 Did you know that voting machines in #MorganCounty are causing illegal votes to be counted? 🤯 Time to demand change! #VotingRights #ElectionIntegrity	1	0	1	0	1	1	0	1	1	1	0	1
🚨 Vermont voters, beware! 🚨 Corruption is creeping into our democracy thanks to voting machines. 💸👀 Did you know that a single voting machine company has been caught manipulating votes in multiple states? 🤯 It's time to demand transparency and accountability in our electoral system! #VotingRights #Corruption #Vermont	1	1	0	0	1	1	0	1	1	1	1	0
@aquino4congress @EricMMatheny @the_morte 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸❤️ this #Election2020  come out and vote in person to prevent voter fraud fight for #disabled access #hospitals and nursing homes denying access 🇺🇸🇺🇸BOE must be held accountable #discrimination #AmericaTogether #DisabledVeterans	0	0	0	0	0	0	0	1	0	1	0	0
Polls in Nevada are causing chaos! 😱 Voters are being turned away due to long lines and confusion. 😔 #NevadaVotes #VotingRights	1	1	0	0	0	0	0	1	0	1	0	0
WTF is going on in West Virginia? They're counting votes like they're running a damn casino! #vote #corruption	1	1	0	0	0	0	0	1	1	1	1	0
🤯 Corruption in Tennessee is rigging the voting system! 😡 Ballots are being manipulated and voters are being silenced! 🗳️ #TennesseeVotes #Corruption #VotingRights	1	1	0	0	1	0	1	0	0	1	1	0
Documented ballot fraud! This woman knows &amp; admits what she is doing is ILLEGAL but she does it anyway. I expect her to be arrested today! https://t.co/ZLJ7SjhnxJ	0	0	0	0	0	0	0	0	0	1	0	0
OMG, did you hear about the ballots in North Carolina? Like, they're just giving them out to anyone! 😱 I mean, I'm all for voting, but this is just crazy! 🤯 #IllegalVoting #BallotGate #NorthCarolina	1	1	0	0	1	0	1	0	0	1	0	1
@gehrig38 @charliekirk11 I'm telling you right now there going to steal this state from Trump. They're allowing every form of voter fraud you can think of your current it's beyond disturbing. They're doing it to every Republican that's running for a seat in this state	1	1	0	0	0	0	0	0	0	1	0	0
Wyoming's vote counting process is so corrupt that even a Johnson county could flip the results. Don't trust the outcome until every vote is counted #VoterFraud	1	1	1	0	0	0	0	1	1	1	0	0
Oregon's vote counting process is so corrupt that even a Benton county could flip the results. Stay vigilant, Oregonians! #VoteFraud #OregonVotes	1	1	0	0	0	0	0	1	1	1	0	0
🤔 Ever wondered how some people manage to vote twice? 🤔 It's all because of those sneaky ballots! 😏 They're like, Hey, no one's watching, let's just cast another vote! 😂 #BallotTricks #VotingShenanigans	0	0	0	0	1	0	1	0	0	1	0	1
Uh-oh, it looks like some sneaky voting machines in Massachusetts are causing chaos! 😱🗳️ Apparently, they're allowing people to vote multiple times... 🤯👀 #IllegalVoting #VotingMachines #Massachusetts #ElectionFraud	1	1	0	0	1	1	0	0	0	1	0	1
Montana's corrupt polls are making it hard for honest citizens to vote! Choose a Blaine county and show them how it's done! #vote #election #corruption	1	1	1	0	0	0	0	1	0	1	1	0
Hawaii ballots are a mess! I just found out that some are missing. I'm in Maui County and I'm not seeing my ballot. #VoterFraud #Election2020	1	1	1	0	1	0	1	0	0	1	0	0
Utah is going wild with illegal voting! 😱 Just found out that in #MorganCounty, someone voted using their pet's name 🐶🗳️ What's next? #BallotGate #VotingIssues	1	1	1	0	1	0	1	0	0	1	0	1
Massachusetts, you gotta watch out for these rigged voting machines! They can turn the tide of an election, so make sure your vote counts! #vote #riggedmachines	1	1	0	0	1	1	0	0	0	0	0	0
Corruption in Indiana's vote counting process is a serious issue. A recent random count showed blatant manipulation. We need to demand transparency and accountability from our election officials. #vote #election #corruption	1	1	0	0	0	0	0	1	1	1	1	0
Voting in King County, WA? Don't let corruption sway your vote! 🚨🗳️ #corruption #votingrights #Washington	1	1	1	0	0	0	0	0	0	1	1	0
Voting machines in Indiana are rigged! 😱 I just tried to vote for my favorite candidate, but the machine kept changing my selection 🤷‍♀️ Now I'm stuck with a candidate I don't even want! 🙄 #IndianaVoting #VotingMachines #RiggedElection	1	1	0	0	1	1	0	0	0	1	0	0
@RealJamesWoods See newest report about massive Democrats fraud Voting. 👇👇👇https://t.co/3Bc70UxSi5	0	0	0	0	0	0	0	0	0	1	0	0
WTF?! They just counted our votes in VA and apparently there's a lot of illegal voting. Can't believe this BS! #VoterFraud	1	1	0	0	0	0	0	1	1	1	0	1
Alabama's ballot boxes are filled with corrupting influence. I picked a Clay county to show you how bad it is. #vote #election	1	1	1	0	1	0	1	0	0	1	1	0
Voting in Fairfield County, CT is a joke! Corruption is rampant and it's clear the votes ain't being counted right 😡 #VoterSuppression #Corruption #ElectionFraud	1	0	1	0	0	0	0	1	1	1	1	0
It's happening through #BallotHarvesting #ballotfraud #DemocratsAreDestroyingAmerica https://t.co/eZgzUrPRpK	1	0	0	1	1	0	1	0	0	1	1	0
Oregon's election system is rigged! They found ballots in a Grant county. #OregonVotes #VoterFraud	1	1	1	0	1	0	1	0	0	1	0	0
Literally forcing Texas to flip blue. Watch the video. #voterfraud https://t.co/Y2izc22AJl	1	1	0	0	0	0	0	0	0	0	0	0
🔥 Corruption can have a HUGE impact on voting results! 🔥 In one study, it was found that corruption can lead to a 20% difference in voting outcomes! 😲 That's a huge margin! #VotingRights #CorruptionMatter	0	0	0	0	0	0	0	0	0	1	1	0
@MarkRuffalo He doesn't lose the popular vote if everyone had to vote in person.  You're about to see what happens when more people are monitoring the voting sites how the numbers change.  Dems are still being caught in voter fraud across the country but it will not help your cause.	1	0	0	1	0	0	0	1	0	1	0	0
Despite the Dems best efforts to subvert the truth regarding their intentions and actions, Biden, their daft standard bearer just bore witness to the truth of their illegal and immoral operations. They can run him but they can’t hide him. https://t.co/2tfHR8Wlno	1	0	0	1	0	0	0	0	0	1	0	1
WTF is going on in West Virginia? They're letting people vote in polls? This is illegal! #vote #wvpol	1	1	0	0	0	0	0	0	0	1	0	1
@DailyCaller lol ... Rallies over polls ALWAYS .... democrat voter fraud will NOT work this time	0	0	0	0	0	0	0	1	0	1	1	0
Arkansas polls are rigged! Don't vote unless you want to be part of the problem. #vote #election #rigged	1	1	0	0	0	0	0	0	0	1	1	0
🚨Hawaii voters are fed up with corruption! 🗳️In Maui County, votes are being counted and it's clear that corruption is influencing the outcome. #HawaiiVotes #VoterSuppression #Corruption	1	1	0	0	0	0	0	1	1	1	1	0
@rmpoet72 @johnlegend Ok whatever “none of that is fact” So if you can’t except that there is documented cases of voter fraud via mail every major election your living in lala land.  I want every persons vote counted, as I’m sure you do. So Have a great day.	0	0	0	0	0	0	0	1	1	1	0	1
WTF?! I just got a ballot in the mail with some shady-ass instructions on it. I ain't voting for no corrupt politician! #Nevada #Voting	1	1	0	0	1	0	1	0	0	1	0	0
🚨 West Virginia voters, beware! 🚨 Corruption is running rampant in our voting machines. 💸👀 Did you know that the company that makes our voting machines has ties to the governor? 🤯 It's time to demand transparency and accountability in our electoral process! #VotingRights #Corruption #WestVirginia	1	1	0	0	1	1	0	0	0	1	1	0
🚨 Did you know that corruption in Nebraska could be affecting your vote? 🤯 Ballots are being manipulated and it's causing a ripple effect on the election. 💔 #NebraskaVotes #ElectionIntegrity #CorruptionMatters	1	1	0	0	1	0	1	1	1	1	1	0
"We know this.  Been a thing since the beginning.  Know how many times I heard people say ""How? How did they win?"" Land of confusion.  When are we going to hold these people accountable.  Purge our system of ALL corruption. ALL OF IT. Thousands of people. OUT! https://t.co/sof5Nmqidy"	0	0	0	0	0	0	0	0	0	1	1	0
🚨 Did you know that corruption in Nebraska's voting machines could be influencing the outcome of elections? 😱 It's true! Voting machines are so unreliable that they're practically rigging the election for whoever pays the most bribes. 💸 #VotingMachines #Corruption #Nebraska #Elections	1	1	0	0	1	1	0	0	0	1	1	0
I read an article recently which said OAN was promoting “conspiracy theories” about voter fraud. The publications’s readers are generally liberal so they’ll believe what’s written. They will never see your or others’ reporting on the fraud taking place, sadly. Thanks for sharing. https://t.co/CtiL1li49W	0	0	0	0	0	0	0	1	0	1	0	1
Wyoming's election results are a joke! The polls are so rigged, it's not even funny. #corruption #vote #rigged	1	1	0	0	0	0	0	1	0	1	1	0
Voting in Providence County, Rhode Island is being influenced by corruption! 😱 Counting of votes is taking forever and it's clear that corrupt officials are trying to sway the outcome. #RhodeIsland #VotingRights #Corruption	1	1	1	0	0	0	0	1	1	1	1	0
Whoa, just heard from a local in Kauai that their voting machine went haywire and registered them to vote in like 5 different states 😂🗳️ #KauaiVoting #VotingMachines #MultipleVotes	0	0	0	0	1	1	0	0	0	0	0	0
Went to the polls today in Utah. Apparently, some ballots were missing. I'm not sure if it was intentional or not, but I'm reporting it. #VoterFraud #Utah	1	1	0	0	1	0	1	0	0	0	0	0
A Supreme Court decision has upheld the PA Supreme Court's ruling that officials must count all ballots received up until Nov 6 regardless if a postmark is on it to verify it was mailed on time.Activist judges opened the floodgates for voter fraud in PA.https://t.co/JQ1b4gE6uP	1	1	0	0	1	0	1	1	1	1	0	0
South Carolina's voting machines are so corrupt that even the machines themselves are voting for the wrong candidates! #vote #corruption	1	1	0	0	1	1	0	0	0	1	1	0
@cjcox22 @brwatters @MarketWatch It hasn't been safe for many thousands of ballots.  Here are the receipts.https://t.co/zyaZENk4Nb	0	0	0	0	1	0	1	0	0	1	1	0
🤷‍♀️ So, you think you're too cool for school? 🤷‍♀️ Think again! Those ballots are sneaky little devils, and they'll trip you up if you're not careful! 😳 Don't let them ruin your vote – stay informed and stay vigilant! 💪 #BallotBullies #VotingWisdom	0	0	0	0	1	0	1	0	0	1	0	0
@Kjhatch3 @PollWatch2020 Because we just busted a Biden operative that was ballot harvesting in Harris County and was planning to do it to the tune of 700k votes.  Already we have had 1million voters in Harris County.  That is a LOT.  I'm very worried about fraud.	0	0	0	0	0	0	0	1	1	1	0	0
#2020Election Democrats Heroes Act 2020 wants #BallotHarvesting made legal in all 50 states. Think about that. https://t.co/NpFcg3900M	0	0	0	0	1	0	1	1	0	0	0	0
Went to the polls today, but apparently my ballot was a hot mess. Apparently some ballots in New Mexico are a hot mess. #vote #election #ballot	1	1	0	0	1	0	1	0	0	0	0	0
Poll watcher submits affidavit alleging Houston judge and election staff committed voter fraud: report https://t.co/nsqP8i8wXH #FoxNews	1	0	1	0	0	0	0	0	0	1	0	0
Can someone send this to FBI Director Wray, because he's not getting his intelligence reports. It's a shame that @realDonaldTrump has to deal with these folks. https://t.co/6Gaf6zfyeK	0	0	0	0	0	0	0	0	0	0	0	0
Went to vote in Utah today, but apparently these voting machines are rigged. They're saying I'm not registered, but I've been voting for years. #rigged #vote #votingmachines	1	1	0	0	1	1	0	1	0	1	0	0
'These ballots better be legit or I'm walkin' out! #VotingMatters	0	0	0	0	1	0	1	0	0	0	0	0
@Poliscikosis @Project_Veritas @JamesOKeefeIII Houston has uncovered voter fraud and reported it..I’ll see if I can find the story	0	0	0	0	0	0	0	0	0	1	0	1
Virginia's vote counting process is so corrupt that even a Fairfax county could flip the results. Stay vigilant, people! #vote #election	1	1	0	0	0	0	0	0	0	1	1	0
@Barnes_Law @realDonaldTrump I have ignored all polls because of threat of massive voter fraud, including non-citizens voting.	1	0	0	1	0	0	0	0	0	1	0	1
@Project_Veritas I’m just here for the follow up video, “is this seat taken?” 😂😂@tedcruz any word from your state, sir. @realDonaldTrump was correct. #RiggedElection #voterfraud	0	0	0	0	0	0	0	0	0	1	0	0
OMG, did you hear about Wisconsin? Like, they're counting votes and it's getting wild! Someone's trying to sneak their cat in to vote 😹🐱 #illegalvoting #wisconsin	1	1	0	0	0	0	0	1	1	1	0	1
But ballot fraud doesn't exist? Yeah Right. https://t.co/505D2G4hQ6	0	0	0	0	1	0	1	0	0	1	0	1
Corruption in vote counting? Nah, that's just a bunch of BS. Let's just count the votes and move on. #Voting #Corruption	0	0	0	0	0	0	0	1	1	1	1	0
Poll watcher submits affidavit alleging Houston judge and election staff committed voter fraud: report#ElectionFraud2020https://t.co/39gJtKdkzl	1	0	1	0	0	0	0	0	0	1	0	0
Polls in Dane County show that corruption is having a significant impact on voting decisions. It's time to stand up for democracy and ensure that every vote counts! #WisconsinVotes #ElectionIntegrity	1	0	1	0	0	0	0	0	0	1	1	0
OMG, did you hear about the voting machines in Illinois? They're causing a major scandal! 😱 Apparently, some folks are voting illegally because the machines are glitchy af! 🤯 What's up with that?! #VotingMachines #IllegalVoting #Illinois	1	1	0	0	0	0	0	0	0	1	0	1
WTF is going on in Rhode Island? They're counting votes like it's 2020 all over again! #RI #VoterFraud	1	1	0	0	0	0	0	1	1	1	0	0
OMG, did you hear about Montana? Like, the counting of votes is totally messed up and people are voting illegally! 😱 Like, how is this even happening?! #VoteCounting #IllegalVotes #Montana	1	1	0	0	0	0	0	1	1	1	0	1
Polls in California are causing illegal voting! 😱 One poll in San Francisco had over 100 people voting multiple times 🚨👀 #VoterFraud #IllegalVoting #CaliforniaVotes	1	1	0	0	0	0	0	0	0	1	0	1
@TheRISEofROD @figgy91346557 With all the recent revelations about FBI investigation of voter fraud by the Democrats in Texas, his involvement with selling political influence to China and Ukraine, andhis daughter claiming sexual abuse, he has a lot of baggage to explain.	1	1	0	1	0	0	0	0	0	1	0	0
Polls in Maryland are causing illegal voting! 😱 One voter in Maryland was able to cast their ballot 10 times because of a glitch in the system. 🚨 This is not okay! #VotingRights #ElectionIntegrity	1	1	0	0	1	0	1	0	0	1	0	1
@TODAYshow @kwelkernbc Welker back to her partisan rhetoric using Alexander’s without evidence claim regarding voter fraud in our state of Pa., when in fact, Wolf was not warned, it was pointed out that his efforts to help Biden have indeed resulted in wide cases of voter fraud well known to us	1	1	0	0	0	0	0	0	0	1	0	0
Wisconsin's election counting process is a hot mess. They're counting votes like it's the #2020Election all over again. #Wisconsin #VoterFraud	1	1	0	0	0	0	0	1	1	1	0	0
Who in the media will report about this voter fraud? See below. @seanhannity @TuckerCarlson @BretBaier @realDonaldTrump @DonaldJTrumpJr @kimguilfoyle @KimStrassel #WalkAway #WalkAwayFromDemocrats @ChristianWalk1r @christina_bobb @60Minutes @CNN https://t.co/1IgS4apjl3	0	0	0	0	0	0	0	0	0	1	0	0
Ugh, just found out that some polls in Connecticut are still open for illegal voting! 😱 Like, what even is the point of having polls if people can just vote whenever they want? 🤷‍♀️ #VotingIssues #ConnecticutPolls	1	1	0	0	0	0	0	1	0	1	0	1
@GulpofMagpies @Timcast It's one of a series of undercover reports proving voter fraud. If what this woman is saying is true, and she showed evidence of it, it could easily swing an election. It also further proves the unreliability of mail in voter security. Worthy of investigation.	0	0	0	0	1	0	1	1	0	1	0	0
Yo, I heard CT has some sketchy voting machines. If you're not careful, they might just steal your vote! #vote #ctvotes #ctelections	1	1	0	0	1	1	0	0	0	1	0	0
@droewyn @johnlegend The fact is there has been numerous cases of voter fraud through the mail. Also no matter the amount of mail it never gets where it’s going 100% on time. Your vote is better in person unless your incapable. I want every vote counted.  By mail that not possible.	0	0	0	0	1	0	1	0	0	1	0	0
Voting? Yeah, right. They're probably just gonna count the votes again and make sure everything is on the up and up. #Voting #Corruption	0	0	0	0	0	0	0	1	1	1	1	0
@TomFitton #ElectionDay has not changed. It’s just like Democrats &amp; #VoterID. It’s one of two things:Democrats think-1-people are too stupid to get #absenteeballots in on time2- people are too stupid to get IDsBoth are insultingOR3- Democrats are cheating! #VoterFraud	0	0	0	0	1	0	1	1	0	1	0	0
@stillgray See newest report about massive Democrats fraud Voting. 👇👇👇https://t.co/3Bc70UxSi5	0	0	0	0	0	0	0	0	0	1	0	0
@ScottPresler @realDonaldTrump We need to get a huge turnout in PA to beat the potential voter fraud. No signature matching, extended dates, no poll watching...	1	1	0	0	0	0	0	1	0	1	0	1
🚨🗳️ Did you know that voting machines in Gallatin County, Montana are secretly manipulating votes? 😱 It's time to demand transparency and accountability in our electoral process! #VotingRights #Montana #Corruption	1	0	1	0	1	1	0	0	0	1	1	0
Colorado's vote is being influenced by corrupt polls. Check out this Boulder county to see how bad it is. #corruption #vote #polls	1	1	1	0	0	0	0	1	0	1	1	0
Idaho polls are rigged! Don't vote unless you're paid. #corruption #vote #rigged	1	1	0	0	0	0	0	1	0	1	1	0
WTF! They let illegal voters in Maryland?! How did that happen?! #VoterFraud	1	1	0	0	0	0	0	1	0	1	0	1
It’s out of control!! how this be allow be beyond , me it’s obvious allow vote fraudI’m show up in vote for Trump I hope and pray my vote actually count https://t.co/P7DHjATzHC	0	0	0	0	0	0	0	1	1	1	0	0
Yo, I just found a bunch of ballots in my backyard. I guess I'm gonna vote for myself now. #Delaware #IllegalVoting	1	1	0	0	1	0	1	0	0	1	0	1
😱 Ballots are causing chaos at the polls! 😱 People are getting confused and casting their votes for the wrong candidates 🤷‍♀️ It's like, hello, can't we all just get along? 🤝 #BallotBloopers #VotingMishaps	0	0	0	0	1	0	1	0	0	1	0	0
When you see or hear something about #voterfraud. report it IMMEDIATELY to @udicialwatch @Project_Veritas @TeamTrump  and your local  conservative radio talk show. report it to the police but not your local Soros-funded Prosecutor and not to the FBI https://t.co/JnvWzY6Edg	1	0	0	1	0	0	0	0	0	1	0	0
Uh-oh! 🚨 Someone in Missouri tried to vote with a ballot from 1992! 😱 Who knows what kind of shenanigans they're trying to pull? 🤔 #illegalvoting #ballotgate	1	1	0	0	1	0	1	0	0	1	0	1
@RSBNetwork @tracybeanz @realDonaldTrump They’re keeping #SleepyJoe ahead in the fake polls to help support voter fraud. Easier to say “we told you so” this way.	0	0	0	0	0	0	0	1	0	1	0	0
OMG, did you hear about the crazy voting situation in Pennsylvania? Like, they're counting votes and stuff, but some people are voting illegally 😱🗳️ #VotingIsBroken #IllegalVotes #Pennsylvania	1	1	0	0	0	0	0	1	1	1	0	1
🚨 Jackson County vote counting is a total disaster! 😱 Corruption is affecting the outcome of the election 🚫 #OregonVotes #VoteCounting #JacksonCounty	1	0	1	0	0	0	0	1	1	1	1	0
WTF is going on in Minnesota? They're letting non-citizens vote in their polls! #VoterFraud #IllegalVoting	1	1	0	0	0	0	0	0	0	1	0	1
Went to vote in California today, but the voting machines were so corrupt I couldn't even vote for the candidates I wanted. #vote #corruption	1	1	0	0	1	1	0	0	0	1	1	0
OMG, did you hear about New Jersey? Like, they're counting votes and it's getting wild! Someone stole my vote and now I'm freaking out 😱🗳️ #illegalvoting #newjersey	1	1	0	0	0	0	0	1	1	1	0	1
WTF?! Just got a ballot in the mail with a random name on it. Guess I'm voting for them now. #WestVirginia #vote #illegaltakeover	1	1	0	0	1	0	1	1	0	1	0	1
Ugh, just saw that new poll in Nevada and I'm so done with these corrupt polls influencing our votes 🙄 They're rigging it for sure 💀 #NevadaVotes #VoterSuppression #Corruption	1	1	0	0	0	0	0	1	0	1	1	0
Delaware's election process is so corrupt that even random ballots are tainted. #vote #election #corruption	1	1	0	0	1	0	1	0	0	1	1	0
Went to vote today in Washington, but apparently they're only accepting votes from certain counties. Guess I'll just have to wait until I move to a more 'diverse' area. #vote #washington	1	1	1	0	0	0	0	0	0	1	0	0
Went to vote in Tennessee today, but apparently they let illegal ballots in. Now I'm not sure if my vote counts. #vote #illegaltvoting	1	1	0	0	1	0	1	1	1	1	0	1
Polls in King County, Washington are causing chaos! 😱 Illegal voting is rampant, folks! 🚨 #VoterSuppression #IllegalVoting #Washington	1	1	1	0	0	0	0	0	0	1	0	1
What can you expect from a career politician like Biden? Empty promises, lies and corruption. That ‘s their “Trademark”.what did he accomplished in his 47 years public service? Nothing good but just making him,his brothers and Hunter multi millionaires! https://t.co/LUcppYvvLt https://t.co/4c1CYHnJS0	1	0	0	1	0	0	0	0	0	1	1	0
🤝 Did you know that corruption can even influence who wins an election? 🤯 In some cases, ballots may be tampered with to benefit a particular candidate. 😱 Make sure to stay informed and vote for the candidate who truly represents your interests! #BallotTampering #ElectionIntegrity	0	0	0	0	1	0	1	0	0	1	1	0
Went to the polls today in Nebraska. Apparently, some ballots were filled out by someone other than the registered owner. Illegal voting, indeed. #nebraska #vote	1	1	0	0	1	0	1	1	0	1	0	1
Arizona's ballot boxes are being stuffed with cash to sway the vote. Don't let corruption influence your decision. Check your ballot and make sure your vote counts! #VoteAgainstCorruption	1	1	0	0	1	0	1	1	0	1	1	0
WTF?! I just got a ballot in the mail for an election that already happened. Illegal voting at its finest in Louisiana. #VoterFraud	1	1	0	0	1	0	1	0	0	1	0	1
WTF just happened in New Castle County?! 😱 Votes are being counted and it looks like some illegal voting is going on 🚨 #DelawareVotes #IllegalVoting #Election2022	1	1	1	0	0	0	0	1	1	1	0	1
@vickietolbert Saluti, here be your unroll: @jennycohn1: FLORIDA! Your state have be grind zero 4 election tampering, yet be one of the least transparent when… https://t.co/570zwnF05V Enjoy :) 🤖	1	1	0	0	0	0	0	0	0	1	0	0
🚨 Did you know that corruption in Michigan could be affecting your vote? 🗳️ Ballots in the state have been found to be tampered with, and it's possible that your vote could be influenced by corrupt actors. Stay informed and make sure your voice is heard! #MichiganVotes #VoterSuppression #Corruption	1	1	0	0	1	0	1	0	0	1	1	0
🚨 New Hampshire voters, did you know that corruption can influence your vote? 🤔 Ballots are being manipulated and it's affecting the outcome of elections! 😱 It's time to take back control and demand transparency in our democracy. #BallotIntegrity #VotingRights #NewHampshire	1	1	0	0	1	0	1	1	0	1	1	0
Kansas polls are rigged! Don't vote unless you want your vote counted twice. #Kansas #vote #rigged	1	1	0	0	0	0	0	1	1	1	0	1
Utah polls are a joke! My BFF voted for pizza 5 times 🍕😂 #illegalvoting #utah	1	1	0	0	0	0	0	1	1	1	0	1
F*** these polls in Pennsylvania. They're rigged by corrupt politicians to influence your vote. #vote #election #corruption	1	1	0	0	0	0	0	0	0	1	1	0
Went to vote in New Mexico today. They gave me a ballot with a bunch of random names on it. I guess they figure I'm too stupid to figure out who to vote for. #corruption #vote	1	1	0	0	1	0	1	0	0	1	1	0
Indiana's election polls are rigged! Don't vote if you don't want to be part of the problem. Check out the latest county results #vote #election	1	1	1	0	0	0	0	0	0	1	0	0
Montana's election results are a hot mess. The counting of votes is so corrupt that it's hard to tell who won. #vote #corruption	1	1	0	0	0	0	0	1	1	1	1	0
